RazaoSocial;UF;TotalDespesas;MediaTrimestral;DesvioPadrao
UNIMED UBERLÂNDIA COOPERATIVA REGIONAL TRABALHO MÉDICO LTDA;MG;6834561141.47;23980916.29;67590757.75
SAMP ESPIRITO SANTO ASSISTENCIA MEDICA SA;ES;6561701475.52;23351250.80;70360442.49
CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;CE;6549982737.43;24904877.33;67172607.98
ODONTOPREV S/A;SP;6407533016.95;59883486.14;130825338.63
UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO;SC;6368087295.14;17640131.01;57360317.16
CENTRO TRASMONTANO DE SAO PAULO;SP;6316194632.39;59029856.38;121807112.17
FUNDAÇÃO SÃO FRANCISCO XAVIER;MG;6124464005.50;26861684.23;72811597.73
UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;PR;6094936836.31;13544304.08;52174838.29
UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD.;SC;5955000601.37;14595589.71;48793015.38
UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA;MG;5766034896.07;15583878.10;49597554.74
POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS;DF;5761123493.62;55933237.80;188799796.72
UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO;SP;5618489188.54;17077474.74;55964487.48
ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO;SP;5519070016.69;33448909.19;87977071.85
UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS;SP;5304022210.88;12480052.26;45976821.56
UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO;SC;5261428896.60;23488521.86;59302361.43
UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.;RS;5145686113.49;17929219.91;51293717.43
CEMIG SAÚDE;MG;5133385415.01;37198445.04;92368577.67
UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA;SC;5109236714.03;18923098.94;52843578.07
UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO;SP;4919421982.60;9460426.89;36235873.91
UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO;SE;4841825405.67;17169593.64;52492774.68
UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;4828669791.90;12318035.18;41108441.71
UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO;PR;4799701734.30;15999005.78;47408059.76
SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL;DF;4720758311.62;32333961.04;75449312.70
UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO;PI;4704390798.58;21779587.03;58964966.67
PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE;RJ;4460775530.05;26711230.72;74418534.78
UNIMED SÃO CARLOS - COOPERATIVA DE TRABALHO MÉDICO;SP;4186002585.51;17812776.96;49739129.01
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL;CE;4088197277.23;23907586.42;61342407.69
UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO;SP;4016124427.18;12472436.11;39864524.15
ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS;SP;3946754778.80;30834021.71;81039330.65
UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE;RJ;3897573947.58;14382191.69;39519640.69
PLANO HOSPITAL SAMARITANO LTDA;SP;3857053799.20;35713461.10;84559284.71
INSTITUTO CURITIBA DE SAÚDE;PR;3769496831.95;38464253.39;83461893.11
UNIMED NORTE DO MATO GROSSO COOPERATIVA DE TRABALHO MÉDICO;MT;3761768593.44;16426937.09;46199048.50
CENTRO CLÍNICO GAÚCHO LTDA;CE;3721624849.38;14259099.04;37826270.55
ALICE OPERADORA LTDA.;SP;3682253596.56;31205538.95;57420427.01
UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO;SP;3634213629.54;13215322.29;40988782.76
UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;3632358103.43;14244541.58;42576176.18
UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO;RJ;3630657397.75;15319229.53;42683524.28
HUMANA SAÚDE LTDA.;PR;3525330777.32;12413136.54;33927049.18
UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO;PE;3479944897.37;17313158.69;46596218.79
UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO;ES;3468110917.31;12703702.99;38584452.70
UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;RJ;3425158475.84;13431994.02;36164156.42
UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA.;MG;3408370469.92;12530773.79;35027687.66
UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO;SP;3314770427.16;10976061.02;33484524.06
UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO;RJ;3267389516.86;19923106.81;46432616.88
ITAUSEG SAÚDE S.A.;SP;3186520577.07;46860596.72;73523389.79
UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO;SP;3183902869.84;7353124.41;27992808.67
UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO;PR;3174622640.55;13624989.87;32769327.94
UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;PE;3160924263.83;14048552.28;38552263.64
METRUS INSTITUTO DE SEGURIDADE SOCIAL;SP;3155494429.02;19240819.69;51672659.21
LEVE SAUDE OPERADORA DE PLANOS DE SAUDE S.A;RJ;3139331329.49;16350684.01;40501460.59
SOBAM CENTRO MÉDICO HOSPITALAR S.A.;SP;3082963783.76;17127576.58;51073602.76
SAMEL PLANO DE SAÚDE LTDA;AM;3002237459.85;34508476.55;76399780.23
QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA.;DF;2977911756.53;19721269.91;49907958.41
