RazaoSocial;UF;TotalDespesas;MediaTrimestral;DesvioPadrao
UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO;MT;1099374859.69;3764982.40;10744935.70
SAÚDE BRB - CAIXA DE ASSISTÊNCIA ;DF;1082419711.84;6481555.16;15613984.19
SELECT OPERADORA DE PLANO DE SAUDE LTDA;GO;1060206657.48;10929965.54;23575934.84
UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;1046735287.70;3420703.55;9864352.22
UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO;BA;1046069341.74;4820596.04;11658543.41
ASSOCIAÇÃO SÃO FRANCISCO VIDA;SP;1044688321.43;8705736.01;20768919.51
UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS;MG;1042750822.84;4965480.11;13931265.66
FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV;PE;1041264814.76;8899699.27;21646995.61
UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;SP;1035688914.85;6056660.32;13024084.39
UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.;RJ;1032787441.36;6885249.61;15376984.24
CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO;GO;1030451245.32;6691241.85;14247708.26
UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;1025623826.24;3770675.83;10664579.78
UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;1025560899.92;4537880.09;12112588.11
UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO;RJ;1002816022.00;5362652.52;12889134.66
LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;DF;996201360.60;5355921.29;13581695.83
UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO;PR;992781139.27;5577422.13;12241518.13
UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO;RJ;991345678.63;5697388.96;11854517.17
UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO;SP;978628891.15;4448313.14;11658122.96
ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15);SP;974606342.25;10950633.06;20756806.48
CENTRO HOSPITALAR ATIBAIA LTDA.;SP;969107110.20;13096042.03;26081135.79
UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO;SC;955539974.16;3932263.27;9192612.89
UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;942620535.71;4809288.45;11395415.14
UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO;PR;942521161.27;4934665.77;10838238.21
ASSOCIAÇÃO PADRE ALBINO SAÚDE;SP;937266286.53;10078132.11;19810991.74
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO;SP;933548711.30;5459349.19;14360790.80
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;RJ;923118491.01;7155957.29;17494322.07
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC;SC;910913393.64;6900859.04;15801308.37
AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA;SP;907137349.04;9163003.53;13498783.77
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA;BA;879410005.69;10108160.98;20680543.83
UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA;GO;877344167.02;5042207.86;10826121.61
UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO;PR;874630116.21;2877072.75;8559243.30
ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;SC;867470039.37;5354753.33;12856755.71
ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI;RJ;865800564.69;13320008.69;22780884.10
UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO;MG;865504359.45;5620158.18;12821607.70
UNIMED APUCARANA COOPERATIVA DE TRABALHO MÉDICO;PR;861714210.01;4952380.52;11307189.09
ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL;RS;857585253.06;6546452.31;14667288.19
FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST;ES;850224473.64;10900313.76;20477075.12
UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO;SP;839569992.65;3781846.81;10182924.91
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA;SP;837906447.87;4928861.46;10894953.13
SAÚDE SANTA TEREZA LTDA.;SP;836136192.42;7532758.49;17227855.64
UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;825794225.13;3970164.54;9758312.61
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;MG;818187198.93;6293747.68;15220195.66
SANTA CASA DE MAUÁ SAÚDE;SP;812942054.29;12133463.50;21072754.76
UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;808906896.99;3288239.42;8738044.44
UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO;MG;808591436.41;3327536.78;8890819.55
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO;GO;807202585.13;9965464.01;19921572.48
UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO;GO;805770887.10;3949857.29;9532035.03
UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO;RJ;801954927.85;3800734.26;9156706.11
CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL;MS;799558354.86;6833832.09;13578539.74
UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;799289460.06;3372529.37;7867656.31
UNIMED OESTE DO PARÁ - COOPERATIVA DE TRABALHO MÉDICO;PA;791616576.54;14136010.30;19433178.11
UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO;MG;790889362.78;6276899.70;10993228.35
CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS;CE;790157914.03;13623412.31;23942305.99
UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO;SP;784959036.58;2660878.09;7342054.60
UNIMED OS BANDEIRANTES COOPERATIVA DE TRABALHO MÉDICO;SP;779741640.37;3182618.94;8451686.50
OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.;SP;779381428.38;6235051.43;14134502.62
ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA;SP;770199275.79;10697212.16;19039413.12
SAMI ASSISTÊNCIA MÉDICA LTDA;SP;769034958.55;9047470.10;17182062.75
METLIFE PLANOS ODONTOLÓGICOS LTDA.;SP;765376764.28;11092416.87;19295306.40
GOCARE PLANOS DE SAUDE LTDA;SP;762123102.50;5184510.90;10030783.55
UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;RS;761764145.67;3160847.08;8350539.33
UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO;SP;758849111.46;3313751.58;9335762.18
UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;756045082.46;2690551.89;7910310.45
FUNDAÇÃO DE SAÚDE ITAIGUAPY;PR;751598554.62;6423919.27;16122483.88
OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S.A;SP;750961154.99;7018328.55;14114977.87
UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO;SC;749180631.78;2243055.78;6682962.95
UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO;MG;748373591.58;3686569.42;11404063.92
UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;746152184.51;4011570.88;9547875.95
NOVA SAÚDE OPERADORA INTEGRADA DE SAÚDE LTDA;RJ;745740578.28;13810010.71;19917027.73
UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;741670434.16;3653548.94;8624873.04
TEMPO MED PLANO DE SAUDE LTDA;SC;740592364.54;4904585.20;9532973.30
UNIMED NOROESTE DO PARANÁ COOP DE TRABALHO MÉDICO .;PR;734831721.84;3087528.24;7815105.08
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES;ES;734075380.35;7126945.44;12504946.13
GARANTIA DE SAÚDE LTDA;SP;731065490.55;8307562.39;16865543.55
UNIMED SAÚDE E ODONTO S.A;SP;727747965.33;9330102.12;17700813.66
UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO ;MG;721980454.09;3454451.93;8927961.33
UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.;RJ;716370826.55;4264112.06;9355196.64
UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS;SP;708588028.48;2845735.05;7471992.15
ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.;AL;703204484.39;9015442.11;14753607.42
VIVACOM PLANOS DE SAÚDE;GO;700409625.81;4350370.35;10237982.23
UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;SC;695414923.18;2381557.96;5875576.29
PARANA ASSISTENCIA MEDICA LTDA;PR;682738333.91;3574546.25;8860585.84
SISTEMAS E PLANOS DE SAÚDE LTDA.;SP;681594659.34;8018760.70;12833936.98
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS;MG;678784850.06;6115178.83;12065194.27
UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;SC;678498353.26;2458327.37;6675662.93
SULMED - ASSISTÊNCIA MÉDICA LTDA;RS;663491092.51;4365072.98;11711412.71
IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA;SP;658019491.03;5181255.83;11557696.94
UNIODONTO DE CAMPINAS COOPERATIVA ODONTOLÓGICA;SP;656803497.78;8420557.66;14664274.29
UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA;MG;652293598.95;5017643.07;11047771.62
UNIMED NORTE PIONEIRO - COOPERATIVA DE TRABALHO MÉDICO;PR;651746460.61;3179251.03;7772575.32
UNIMED CENTRO PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;SP;639759250.98;9139417.87;15533558.03
UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO;SP;634867671.51;4176761.00;9188888.24
FUNDACAO LEONOR DE BARROS CAMARGO;SP;633109725.27;6807631.45;13593013.25
UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;624845813.76;2801999.16;6639611.32
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE;SP;622244073.39;2067256.06;5395839.71
UNIMED LAVRAS COOPERATIVA DE TRABALHO MÉDICO;MG;620410537.24;2117442.11;6688924.00
CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE;RN;615583099.84;6218011.11;11572919.70
UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO;RJ;614765540.30;3396494.70;7783047.67
UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO;SP;606731534.38;3003621.46;7255246.86
PLAMED PLANO DE ASSISTENCIA MEDICA LTDA;SE;606514174.42;8086855.66;15728431.08
BEST SENIOR OPERADORA DE SAÚDE LTDA;ES;603928676.29;5644193.24;11728973.92
MATÃO CLINICAS & AMHMA SAÚDE LTDA;SP;599467678.78;4473639.39;10049355.93
HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA;PI;594128963.79;5824793.76;11651228.13
UNIMED SUL PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;589365247.53;2642893.49;7166774.64
CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC;DF;587367545.83;6248590.91;13189495.90
ASSOCIAÇÃO DE SAÚDE DO VALE;SC;586454831.10;6108904.49;11564402.71
ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO;SP;580057391.09;5743142.49;13501086.80
UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA;CE;579310944.45;4079654.54;8530080.09
UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO;SP;577247557.43;3772859.85;8845111.88
ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ;PR;574006883.12;6597780.27;10428978.99
PRONTOMED PLANOS DE SAÚDE LTDA;MG;573620026.81;3798808.12;8420529.64
SUL AMÉRICA ODONTOLÓGICO S/A;SP;559561331.93;4512591.39;9703162.97
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL;BA;554771750.20;3511213.61;7970118.66
AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;SP;554441764.62;7108227.75;14557651.19
UNIMED COSTA VERDE RJ;RJ;552167393.40;3408440.70;7724052.34
UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO;SC;551410804.44;3063393.36;8201164.47
UNIMED ITAÚNA COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;548185713.26;1986180.12;5601977.73
ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO;MG;547491024.15;18249700.81;17862739.15
SÃO FRANCISCO ASSISTÊNCIA MÉDICA LTDA;PE;545421011.81;6197966.04;11226950.40
UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.;MG;545081124.58;2339403.97;6347837.19
UNIMED NOROESTE FLUMINENSE - COOPERATIVA DE TRABALHO MÉDICO LTDA;RJ;536856317.35;4970891.83;9184254.91
SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA;SP;536767627.77;3753619.77;8499994.72
ELETROS SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;RJ;535190236.94;3387279.98;8674398.16
PLADISA PLANOS DE SAÚDE SA;SC;532657749.81;3916601.10;9511682.39
UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO;MG;527904132.54;2062125.52;5317891.03
UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA.;RS;527764215.71;2477766.27;5701761.18
FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA;AM;526492242.59;11201962.61;23997723.52
COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;SC;526210073.83;1486469.14;4142487.74
UNIMED SÃO LOURENÇO COOPERATIVA DE TRABALHO MÉDICO;MG;525177915.92;2152368.51;5938687.81
FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;MG;523069589.23;3932854.05;10005833.60
VITA ASSISTÊNCIA A SAÚDE LTDA.;MG;522647528.08;3393815.12;7451144.37
UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO;SP;521356833.37;1829322.22;5505995.42
AMHA SAUDE S/A;SP;520859853.43;4735089.58;11781504.12
COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA;SC;518746259.37;1826571.34;5240040.94
ÚNICA ASSISTENCIA MEDICA LTDA ;SP;516193588.76;8193549.03;13042226.53
UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;515371962.78;2129636.21;6227152.11
ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA;SP;512719677.79;5178986.64;11516791.11
SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA;RJ;510200117.84;4768225.40;9219441.44
INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM;RS;505646950.61;4861989.91;10111823.43
CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO;PE;504568930.22;5799642.88;12629527.22
COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA;TO;502199429.28;1224876.66;3896028.29
SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;SP;499149860.21;3961506.83;9203649.28
UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO;SP;496782053.00;1896114.71;5258037.30
SAÚDE BRASIL ASSISTÊNCIA MÉDICA LTDA.;SP;490148542.80;5766453.44;7611318.21
AMAZÔNIA PLANOS DE SAÚDE LTDA;PA;485743106.15;5167479.85;10885917.08
UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO;SP;481278829.04;2270183.16;5354085.76
UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;RJ;480730390.74;3338405.49;6955969.10
UNIMED PATROCÍNIO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;480624727.23;3080927.74;6433655.21
UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO;SP;478334271.41;2224810.56;5288350.61
PLANO DE SAUDE ASES LTDA.;RJ;478065553.22;3464243.14;8806371.59
UNIMED REGIONAL DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO;MS;476869025.63;2128879.58;6348597.39
ASSOCIAÇÃO SAÚDE SÃO JOSÉ;SC;473086128.93;3052168.57;7300908.07
UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO;SP;471841271.57;2407353.43;5920906.90
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU;SP;469548745.34;5103790.71;10327656.14
UNIMED VALE DO JAURU COOPERATIVA DE TRABALHO MÉDICO;MT;465571264.16;2327856.32;5931028.91
ASSOCIAÇÃO SÃO LUIZ SAÚDE;SP;463838916.44;5041727.35;11382353.42
UNIMED DE BARRETOS COOPERATIVA DE TRABALHO MÉDICO;SP;460575350.87;3437129.48;7637871.19
UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;MG;460273458.21;1770282.53;4694102.96
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF;PA;460171292.26;3334574.58;7725539.65
IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO;SP;458057872.38;4126647.50;8565200.24
UNIMED NORTE DO PARANÁ COOPERATIVA REGIONAL DE TRABALHO MÉDICO;PR;452440855.19;1831744.35;3936505.11
DENTAL UNI - COOPERATIVA ODONTOLÓGICA;PR;446469200.65;7086812.71;11080041.65
ANAFE SAUDE;GO;444723721.70;4447237.22;9445664.27
UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;RJ;438286071.60;27392879.47;30313648.10
UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO;SP;437884823.21;1990385.56;4565598.99
UNITY SERVIÇOS INTEGRADOS DE SAÚDE LTDA.;DF;435506272.01;4733763.83;8954047.33
CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO;RJ;433694408.10;4517650.08;7451439.86
LEADER ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA.;SP;430285323.94;6519474.61;12417571.28
CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE;RS;424865496.03;4828017.00;10411411.53
UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO;SP;422177469.47;1563620.26;4818306.90
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS;MG;420399741.01;2859862.18;7217387.53
ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE;PR;418966791.87;3675147.30;7028139.53
UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;414042335.38;2365956.20;4643282.50
IRMANDADE DE MISERICORDIA DE PORTO FERREIRA;SP;407101463.02;5025943.99;10118334.08
GS PLANO GLOBAL DE SAÚDE LTDA;RJ;402895340.75;3329713.56;8085321.09
UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO;MG;401524076.11;2027899.37;3520385.09
UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;392816605.92;1418110.49;3916550.39
UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO;SP;385013043.72;1718808.23;4842495.19
SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA;SP;382657181.56;3510616.34;6705416.20
MAIS SAÚDE PLANO DE SAÚDE LTDA;GO;381430636.18;14127060.60;13849386.98
ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP;PB;379945678.39;7449915.26;12165191.95
OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA;MS;379328420.85;3059100.17;6428884.70
CONFERÊNCIA SÃO JOSÉ DO AVAÍ;RJ;376996691.80;3366041.89;6541318.62
INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA;SP;376146993.00;2807067.11;6629234.90
BIO SAÚDE SERVIÇOS MÉDICOS LTDA;SP;375357599.96;4265427.27;5008797.76
UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO;MG;372313716.94;1715731.41;4632586.13
ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;GO;371196510.72;6512219.49;10113706.26
UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO ;GO;369301954.36;1903618.32;4797045.39
UNIMED DE UBA COOPERATIVA DE TRABALHO MEDICO;MG;368991588.40;1618384.16;4368079.68
UNIMED VILHENA - COOPERATIVA DE TRABALHO MEDICO LTDA;RO;361155595.01;2188821.79;4570671.79
CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO;PE;360534293.62;3004452.45;6514957.35
UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO;SP;358386925.56;2541751.25;5600116.22
UNIMED TRÊS CORAÇÕES COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;357362117.32;1726387.04;4116718.66
UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;TO;355863851.51;1284707.05;3284847.60
UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO;MG;355706468.86;1595096.27;4149586.57
UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO;SP;354654865.79;1626857.18;4863634.48
ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ;PR;353640282.18;3929336.47;6745941.04
UNIMED CARATINGA - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;349197172.03;2282334.46;4541152.53
UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA;MG;346137148.36;1705109.11;4046106.85
ALLIANZ SAÚDE S/A;SP;338454098.68;3802855.04;4701315.53
TERRAMAR ADMINISTRADORA DE PLANO DE SAUDE LTDA;BA;335826769.38;4361386.62;6627707.17
FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO;MG;331796611.97;2211977.41;4958008.16
PLANO ODONTOLÓGICO DENTALVIDAS LTDA.;SP;324935586.71;5700624.33;10791628.59
UNIMED FRUTAL COOPERATIVA DE TRABALHO MEDICO LTDA;MG;324552226.05;1023824.06;3009901.99
UNIMED PLANALTO CENTRAL/RS - COOPERATIVA DE ASSISTÊNCIA  À SAÚDE LTDA.;RS;324347516.46;1864066.19;4100878.16
UNIMED ALFENAS COOPERATIVA DE TRABALHO MEDICO;MG;321383857.29;1656617.82;3967442.47
UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO;SP;319522156.17;5605651.86;7909463.85
PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A;MG;316670121.51;1930915.38;3861288.63
UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI ;PR;315988528.41;1869754.61;4529988.31
AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;RJ;310904659.96;2800942.88;6606276.52
BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.;SP;310654901.30;5177581.69;8407065.28
POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA;PR;309998564.56;2719285.65;5812038.21
AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;MG;309897884.88;2365632.71;5306765.27
FUNDAÇÃO FIAT SAÚDE E BEM ESTAR;MG;308851967.07;12868831.96;21194957.30
UNIMED REGIÃO DA CAMPANHA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;299759788.09;1332265.72;3617808.03
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB;BA;295680720.79;3145539.58;4775523.65
FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL;RS;292409993.20;4430454.44;7243512.25
UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO;SP;290212496.41;2359451.19;4655718.53
SF SISTEMAS DE SAÚDE LTDA;SP;289935185.72;4327390.83;6974472.15
ASSOCIAÇÃO FCA SAÚDE;MG;287504747.73;6534198.81;16104454.97
UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO;MG;284889644.21;1591562.26;3657435.56
UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;283255595.82;1940106.82;4425597.35
PREVIDENT ASSISTÊNCIA ODONTOLÓGICA S.A;SP;281730409.03;5217229.80;7845739.87
UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO;SP;276724705.87;1048199.64;3093786.92
ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS;SP;276097842.96;3001063.51;6193357.07
UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO;SP;271598643.92;1065092.72;2907400.50
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS);SP;270985781.68;2913825.61;5893580.19
SBC SAÚDE LTDA.;SP;269832181.10;2901421.30;5843567.84
PLAMER PLANO MEDICO RESENDE LTDA;RJ;267142212.69;2343352.74;5116180.48
SOCIEDADE BENEFICENTE DEZOITO DE JULHO;MG;262106242.46;3798641.20;6428555.21
ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA;BA;258898107.38;2397204.70;5207382.29
